CC,defaultDescription,conceptID
(B) AXILLA LAC,B Axilla laceration,283368002-B
(B) AXILLA LACERATION,B Axilla laceration,283368002-B
(B) AXILLARY ABSCESS,B Axilla abscess,13802001-B
(B) BACK LAC,B Back laceration,274171001-B
(B) BACK LACERATION,B Back laceration,274171001-B
(B) BACK PAIN,B Back pain,161891005-B
(B) BACKPAIN,B Back pain,161891005-B
(B) BODY PAIN,B Body pain,279001004-B
(B) BREAST ABSCESS,B Breast abscess,28432003-B
(B) BREAST BURN,B Breast burn,80433004-B
(B) BREAST ERYTHEMA,B Breast erythema,290070001-B
(B) BREAST LAC,B Breast laceration,283376000-B
(B) BREAST LACERATION,B Breast laceration,283376000-B
(B) BREAST PAIN,B Breast pain,53430007-B
(B) BREAST TENDERNESS,B Tender breast,55222007-B
(B) BUTTOCK ABSCESS,B Gluteal abscess,64576003-B
(B) BUTTOCK LAC,B Buttock laceration,283383007-B
(B) BUTTOCK LACERATION,B Buttock laceration,283383007-B
(B) C/P,B Chest pain,29857009-B
(B) CALCANEUS FX,B Calcaneus fx,263247007-B
(B) CALF LAC,B Calf laceration,283389006-B
(B) CALF LACERATION,B Calf laceration,283389006-B
(B) CALF PAIN,B Calf pain,300954003-B
(B) CAROTID ARTERY DISSECTION,B Carotid artery dissection,230729006-B
(B) CAROTID DISSECTION,B Carotid artery dissection,230729006-B
(B) CHEEK ABSCESS,B Cheek abscess,308661000-B
(B) CHEEK LAC,B Cheek laceration,283362001-B
(B) CHEEK LACERATION,B Cheek laceration,283362001-B
(B) CHEEK PAIN,B Cheek pain,473008002-B
(B) CHEST PAIN,B Chest pain,29857009-B
(B) CHEST PAIN (CARDIAC FEATURES),B Chest pain,29857009-B
(B) CHEST PAIN (NONCARDIAC FEATURES),B Chest pain,29857009-B
(B) CHEST PAINS,B Chest pain,29857009-B
(B) CHEST PRESSURE,B Chest pain,29857009-B
(B) CHEST TIGHTNESS,B Chest pain,29857009-B
(B) CHEST WALL LAC,B Chest wall laceration,274167004-B
(B) CHEST WALL LACERATION,B Chest wall laceration,274167004-B
(B) CHIN LAC,B Chin laceration,110077007-B
(B) CHIN LACERATION,B Chin laceration,110077007-B
(B) CLAVICLE FRACTURE,B Clavicle fracture,58150001-B
(B) CLAVICLE FX,B Clavicle fracture,58150001-B
(B) CLAVICLE PAIN,B Clavicle pain,203509009-B
(B) CLAVICULAR PAIN,B Clavicle pain,203509009-B
(B) CLOSED HIP FRACTURE,B Closed hip fracture,359817006-B
(B) CLOSED HIP FX,B Closed hip fracture,359817006-B
(B) COLLAR BONE FRACTURE,B Clavicle fracture,58150001-B
(B) COLLAR BONE FX,B Clavicle fracture,58150001-B
(B) CP,B Chest pain,29857009-B
(B) CP - CHEST PAIN,B Chest pain,29857009-B
(B) DECREASED HEARING,B Hearling loss,103276001-B
(B) DVT,B DVT,128053003-B
(B) DVT - DEEP VEIN THROMBOSIS,B DVT,128053003-B
(B) EAR ACHE,B Ear pain,16001004-B
(B) EAR BURN,B Ear burn,39065001-B
(B) EAR CRUSH INJ,B Ear crush injury,67070005-B
(B) EAR CRUSH INJURY,B Ear crush injury,67070005-B
(B) EAR DISCHARGE,B Ear discharge,300132001-B
(B) EAR FOREIGN BODY,B Ear foreign body,75441006-B
(B) EAR INJ,B Ear injury,2999009-B
(B) EAR INJURY,B Ear injury,2999009-B
(B) EAR LAC,B Ear Laceration,283361008-B
(B) EAR LACERATION,B Ear Laceration,283361008-B
(B) EAR PAIN,B Ear pain,16001004-B
(B) EAR SWELLING,B Ear swelling,300874009-B
(B) EARACHE,B Ear pain,16001004-B
(B) EBLOW FX,B Elbow fracture,309464009-B
(B) ELBOW BURN,B Elbow burn,18084001-B
(B) ELBOW CRUSH INJ,B Elbow crush injury,5450005-B
(B) ELBOW CRUSH INJURY,B Elbow crush injury,5450005-B
(B) ELBOW FRACTURE,B Elbow fracture,309464009-B
(B) ELBOW FX,B Elbow fracture,309464009-B
(B) ELBOW LAC,B Elbow laceration,283370006-B
(B) ELBOW LACERATION,B Elbow laceration,283370006-B
(B) ELBOW PAIN,B Elbow pain,74323005-B
(B) EPISTAXIS,B Epistaxis,249366005-B
(B) EPISTAXSIS,B Epistaxis,249366005-B
(B) EYE BURN,B Eye burn,274205003-B
(B) EYE DISCHARGE,B Eye discharge,246679005-B
(B) EYE EVAL,B Eye eval,118235002-B
(B) EYE FINDING,B Eye eval,118235002-B
(B) EYE FOREIGN BODY SENSATION,B Eye foreign body sensation,3283003-B
(B) EYE PAIN,B Eye pain,41652007-B
(B) EYE REDNESS,B Eye redness,246676003-B
(B) EYE SWELLING,B Eye swelling,9404003-B
(B) EYELID ABSCESS,B Eyelid abscess,76126009-B
(B) EYELID LAC,B Eyelid laceration,231816006-B
(B) EYELID LACERATION,B Eyelid laceration,231816006-B
(B) FACE INJ,B Facial injury,125593007-B
(B) FACE INJURY,B Facial injury,125593007-B
(B) FACE NUMBNESS,B Facial numbness,309557009-B
(B) FACE PAIN,B Facial pain,95668009-B
(B) FACIAL DROOP,B Facial droop,95667004-B
(B) FACIAL INJ,B Facial injury,125593007-B
(B) FACIAL INJURY,B Facial injury,125593007-B
(B) FACIAL LAC,B Facial laceration,370247008-B
(B) FACIAL LACERATION,B Facial laceration,370247008-B
(B) FACIAL NUMBNESS,B Facial numbness,309557009-B
(B) FACIAL PAIN,B Facial pain,95668009-B
(B) FACIAL SWELLING,B Facial swelling,278528006-B
(B) FEET PAIN,B Foot pain,47933007-B
(B) FEMER FX,B Femur fracture,71620000-B
(B) FEMUR FRACTURE,B Femur fracture,71620000-B
(B) FEMUR FX,B Femur fracture,71620000-B
(B) FIBULA FRACTURE,B Fibula fracture,75591007-B
(B) FIBULA FX,B Fibula fracture,75591007-B
(B) FINGER ABSCESS,B Finger abscess,21092002-B
(B) FINGER BURN,B Finger burn,82057004-B
(B) FINGER CRUSH INJ,B Finger crush injury,10380004-B
(B) FINGER CRUSH INJURY,B Finger crush injury,10380004-B
(B) FINGER FRACTURE,B Finger fracture,18171007-B
(B) FINGER FX,B Finger fracture,18171007-B
(B) FINGER INJ,B Finger injury,52011008-B
(B) FINGER INJURY,B Finger injury,52011008-B
(B) FINGER LAC,B Finger laceration,274172008-B
(B) FINGER LACERATION,B Finger laceration,274172008-B
(B) FINGER NUMB,B Finger numb,309536001-B
(B) FINGER NUMBNESS,B Finger numb,309536001-B
(B) FINGER PAIN,B Finger pain,18876004-B
(B) FINGER REDNESS,B Finger redness,f178d592c5ea11e4b987525400010026-B
(B) FINGER SWELLING,B Finger swelling,299060006-B
(B) FINGER TENDON LAC,B Finger tendon laceration,446313009-B
(B) FINGER TENDON LACERATION,B Finger tendon laceration,446313009-B
(B) FLANK ABSCESS,B Flank abscess,65967008-B
(B) FLANK PAIN,B Flank pain,247355005-B
(B) FOOT ABSCESS,B Foot abscess,301706005-B
(B) FOOT BURN,B Foot burn,11980003-B
(B) FOOT CRUSH INJ,B Foot crush injury,43422002-B
(B) FOOT CRUSH INJURY,B Foot crush injury,43422002-B
(B) FOOT EDEMA,B Pedal edema,102576009-B
(B) FOOT FRACTURE,B Foot fracture,15574005-B
(B) FOOT FX,B Foot fracture,15574005-B
(B) FOOT INJ,B Foot injury,125604000-B
(B) FOOT INJURY,B Foot injury,125604000-B
(B) FOOT LAC,B Foot laceration,284551006-B
(B) FOOT LACERATION,B Foot laceration,284551006-B
(B) FOOT NUMBNESS,B Foot numbness,309538000-B
(B) FOOT PAIN,B Foot pain,47933007-B
(B) FOOT PARESTHESIA,B Foot paresthesia,309087008-B
(B) FOOT REDNESS,B Foot redness,d6f96bc0c73711e4b8b2525400010026-B
(B) FOOT SWELLING,B Foot swelling,297142003-B
(B) FOOT ULCER,B Foot ulcer,95345008-B
(B) FOREARM ABSCESS,B Forearm abscess,58964002-B
(B) FOREARM BURN,B Forearm burn,80827001-B
(B) FOREARM CRUSH INJ,B Forearm crush injury,111693009-B
(B) FOREARM CRUSH INJURY,B Forearm crush injury,111693009-B
(B) FOREARM FRACTURE,B Forearm fracture,65966004-B
(B) FOREARM FX,B Forearm fracture,65966004-B
(B) FOREARM INJ,B Forearm injury,125597008-B
(B) FOREARM INJURY,B Forearm injury,125597008-B
(B) FOREARM LAC,B Forearm laceration,283371005-B
(B) FOREARM LACERATION,B Forearm laceration,283371005-B
(B) FOREARM PAIN,B Forearm pain,444899003-B
(B) FOREHEAD LAC,B Forehead laceration,283359004-B
(B) FOREHEAD LACERATION,B Forehead laceration,283359004-B
(B) FRACTURE OF SCAPULA,B Fracture of scapula,9682006-B
(B) FX OF SCAPULA,B Fracture of scapula,9682006-B
(B) GENERAL WEAKNESS,B Weakness,26544005-B
(B) GENERALIZED WEAKNESS,B Weakness,26544005-B
(B) GINGIVAE LAC,B Gum laceration,286622004-B
(B) GINGIVAE LACERATION,B Gum laceration,286622004-B
(B) GLUTEAL ABSCESS,B Gluteal abscess,64576003-B
(B) GROIN ABSCESS,B Groin abscess,79216009-B
(B) GROIN LAC,B Groin laceration,283382002-B
(B) GROIN LACERATION,B Groin laceration,283382002-B
(B) GROIN PAIN,B Inguinal pain,102570003-B
(B) GUM LAC,B Gum laceration,286622004-B
(B) GUM LACERATION,B Gum laceration,286622004-B
(B) H/A,B Headache,25064002-B
(B) HA,B Headache,25064002-B
(B) HA - HEADACHE,B Headache,25064002-B
(B) HAND ABSCESS ,B Hand abscess ,3633001-B
(B) HAND BURN,B Hand burn,14893008-B
(B) HAND CRUSH INJ,B Hand crush injury,50793006-B
(B) HAND CRUSH INJURY,B Hand crush injury,50793006-B
(B) HAND FRACTURE,B Hand fracture,20511007-B
(B) HAND FX,B Hand fracture,20511007-B
(B) HAND INJ,B Hand injury,125599006-B
(B) HAND INJURY,B Hand injury,125599006-B
(B) HAND LAC,B Hand laceration,284549007-B
(B) HAND LACERATION,B Hand laceration,284549007-B
(B) HAND LACS,B Hand laceration,284549007-B
(B) HAND NUMBNESS,B Hand numbness,309521004-B
(B) HAND PAIN,B Hand pain,53057004-B
(B) HAND REDNESS,B Hand redness,098fe948c5e811e4899b525400010026-B
(B) HAND SWELLING,B Hand swelling,299037003-B
(B) HAND TENDON INJ,B Hand tendon injury,262971000-B
(B) HAND TENDON INJURY,B Hand tendon injury,262971000-B
(B) HAND WEAKNESS,B Hand weakness,298283006-B
(B) HANDPAIN,B Hand pain,53057004-B
(B) HEAD ACHE,B Headache,25064002-B
(B) HEAD PAIN,B Headache,25064002-B
(B) HEADACHE,B Headache,25064002-B
(B) HEADACHES,B Headache,25064002-B
(B) HEARLING LOSS,B Hearling loss,103276001-B
(B) HEEL ABSCESS,B Heel abscess,91541006-B
(B) HEEL FX,B Calcaneus fx,263247007-B
(B) HEEL LAC,B Heel laceration,283395007-B
(B) HEEL LACERATION,B Heel laceration,283395007-B
(B) HEEL PAIN,B Heel pain,2733002-B
(B) HEEL ULCER,B Heel ulcer,301022003-B
(B) HIP ABSCESS,B Hip abscess,736004-B
(B) HIP BURN,B Hip burn,284226006-B
(B) HIP CRUSH INJ,B Hip crush injury,11730002-B
(B) HIP CRUSH INJURY,B Hip crush injury,11730002-B
(B) HIP FRACTURE,B Hip fracture,263225007-B
(B) HIP FX,B Hip fracture,263225007-B
(B) HIP INJ,B Hip injury,125600009-B
(B) HIP INJURY,B Hip injury,125600009-B
(B) HIP LAC,B Hip laceration,283384001-B
(B) HIP LACERATION,B Hip laceration,283384001-B
(B) HIP PAIN,B Hip pain,49218002-B
(B) HUMERUS FRACTURE,B Humerus fracture,66308002-B
(B) HUMERUS FX,B Humerus fracture,66308002-B
(B) INGUINAL PAIN,B Inguinal pain,102570003-B
(B) JAW PAIN,B Jaw pain,274667000-B
(B) KNEE BURN,B Knee burn,19684007-B
(B) KNEE CRUSH INJ,B Knee crush injury,38128008-B
(B) KNEE CRUSH INJURY,B Knee crush injury,38128008-B
(B) KNEE INJ,B Knee injury,125601008-B
(B) KNEE INJURY,B Knee injury,125601008-B
(B) KNEE LAC,B Knee laceration,283386004-B
(B) KNEE LACERATION,B Knee laceration,283386004-B
(B) KNEE PAIN,B Knee pain,30989003-B
(B) KNEE SWELLING,B Knee swelling,248491001-B
(B) LABIAL TEAR,B Labial tear,249221003-B
(B) LBP,B Lower back pain,279039007-B
(B) LBP - LOW BACK PAIN,B Lower back pain,279039007-B
(B) LE CELLULITIS,B Leg cellulitis,449710006-B
(B) LE DVT,B Leg DVT,404223003-B
(B) LE EDEMA,B Leg swelling,449614009-B
(B) LE INJ,B Leg injury,127279002-B
(B) LE INJURY,B Leg injury,127279002-B
(B) LE LAC,B Leg laceration,283357002-B
(B) LE LACERATION,B Leg laceration,283357002-B
(B) LE NUMBNESS,B Leg numbness,309537005-B
(B) LE PAIN,B Leg pain,10601006-B
(B) LE PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) LE REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
(B) LE SWELLING,B Leg swelling,449614009-B
(B) LE WEAKNESS,B Leg weakness,102568007-B
(B) LEG ABSCESS,B Leg abscess,315596001-B
(B) LEG BURN,B Leg burn,84677008-B
(B) LEG CELLULITIS,B Leg cellulitis,449710006-B
(B) LEG CRUSH INJ,B Leg crush injury,39595001-B
(B) LEG CRUSH INJURY,B Leg crush injury,39595001-B
(B) LEG DVT,B Leg DVT,404223003-B
(B) LEG INJ,B Leg injury,127279002-B
(B) LEG INJURY,B Leg injury,127279002-B
(B) LEG LAC,B Leg laceration,283357002-B
(B) LEG LACERATION,B Leg laceration,283357002-B
(B) LEG NUMBNESS,B Leg numbness,309537005-B
(B) LEG PAIN,B Leg pain,10601006-B
(B) LEG PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) LEG REDNESS,B Leg redness,02192a6cc5e811e4a5e0525400010026-B
(B) LEG SWELLING,B Leg swelling,449614009-B
(B) LEG WEAKNESS,B Leg weakness,102568007-B
(B) LIP LAC,B Lip laceration,283363006-B
(B) LIP LACERATION,B Lip laceration,283363006-B
(B) LIP SWELLING,B Lip swelling,163140002-B
(B) LOW BACK PAIN,B Lower back pain,279039007-B
(B) LOWER BACK PAIN,B Lower back pain,279039007-B
(B) LOWER EXTREMITY EDEMA,B Leg swelling,449614009-B
(B) LOWER EXTREMITY INJ,B Leg injury,127279002-B
(B) LOWER EXTREMITY INJURY,B Leg injury,127279002-B
(B) LOWER EXTREMITY NUMBNESS,B Leg numbness,309537005-B
(B) LOWER EXTREMITY PAIN,B Leg pain,10601006-B
(B) LOWER EXTREMITY PARESTHESIA,B Lower extremity paresthesia,429783005-B
(B) LOWER EXTREMITY SWELLING,B Leg swelling,449614009-B
(B) LOWER EXTREMITY WEAKNESS,B Leg weakness,102568007-B
(B) LOWER LEG BURN,B Lower leg burn,37696000-B
(B) LOWER LEG CRUSH INJ,B Lower leg crush injury,40874009-B
(B) LOWER LEG CRUSH INJURY,B Lower leg crush injury,40874009-B
(B) LOWER LEG INJ,B Lower leg injury,125602001-B
(B) LOWER LEG INJURY,B Lower leg injury,125602001-B
(B) LOWER LEG LAC,B Lower leg laceration,283387008-B
(B) LOWER LEG LACERATION,B Lower leg laceration,283387008-B
(B) LOWER LIMB ABSCESS,B Leg abscess,315596001-B
(B) LOWER LIMB BURN,B Leg burn,84677008-B
(B) MASTITIS,B Mastitis,45198002-B
(B) MAXILLARY FRACTURE,B Maxillary fracture,263156006-B
(B) MAXILLARY FX,B Maxillary fracture,263156006-B
(B) MIGRAINE,B Headache,25064002-B
(B) NAIL BED LAC,B Nail bed lac,446314003-B
(B) NAIL BED LACERATION,B Nail bed lac,446314003-B
(B) NAILBED LAC,B Nail bed lac,446314003-B
(B) NAILBED LACERATION,B Nail bed lac,446314003-B
(B) NASAL FOREIGN BODY,B Nose foriegn body,74699008-B
(B) NECK PAIN,B Neck pain,81680005-B
(B) NIPPLE ABSCESS,B Nipple abscess,237439001-B
(B) NIPPLE PAIN,B Nipple pain,225573003-B
(B) NOSE BLEED,B Epistaxis,249366005-B
(B) NOSE BLEEDING,B Epistaxis,249366005-B
(B) NOSE FORIEGN BODY,B Nose foriegn body,74699008-B
(B) NOSE LAC,B Nose laceration,373602003-B
(B) NOSE LACERATION,B Nose laceration,373602003-B
(B) NOSEBLEED,B Epistaxis,249366005-B
(B) NUMBESS,B Numbness,44077006-B
(B) NUMBNESS,B Numbness,44077006-B
(B) OPEN HIP FRACTURE,B Open hip fracture,361118003-B
(B) OPEN HIP FX,B Open hip fracture,361118003-B
(B) OPEN TIB FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
(B) OPEN TIB FIB FX,B Open Tib/Fib fracture,414943006-B
(B) OPEN TIB/FIB FRACTURE,B Open Tib/Fib fracture,414943006-B
(B) OPEN TIB/FIB FX,B Open Tib/Fib fracture,414943006-B
(B) ORBITAL FLOOR FRACTURE,B Orbital floor fracture,207787008-B
(B) ORBITAL FLOOR FX,B Orbital floor fracture,207787008-B
(B) ORBITAL FRACTURE,B Orbital fracture,95851007-B
(B) ORBITAL FX,B Orbital fracture,95851007-B
(B) ORBITAL SWELLING,B Eye swelling,9404003-B
(B) PAIN,B Pain,22253000-B
(B) PATELLA FRACTURE,B Patella fracture,51037009-B
(B) PATELLA FX,B Patella fracture,51037009-B
(B) PEDAL EDEMA,B Pedal edema,102576009-B
(B) PELVIC LAC,B Pelvic laceration,283379007-B
(B) PELVIC LACERATION,B Pelvic laceration,283379007-B
(B) PELVIC PAIN,B Pelvic pain,30473006-B
(B) PLEURAL EFFUSION,B Pleural effusion,60046008-B
(B) PNEUMOTHORAX,B Pneumothorax,36118008-B
(B) PNEUMOTHRAX,B Pneumothorax,36118008-B
(B) POSITIVE DVT,B DVT,128053003-B
(B) PTX,B Pneumothorax,36118008-B
(B) PULSELESS FOOT,B Pulseless foot,422163002-B
(B) RADIUS FRACTURE,B Radius Fracture,12676007-B
(B) RADIUS FX,B Radius Fracture,12676007-B
(B) RIB FRACTURE,B Rib fracture,33737001-B
(B) RIB FX,B Rib fracture,33737001-B
(B) RIB INJ,B Rib Injury,282770002-B
(B) RIB INJURY,B Rib Injury,282770002-B
(B) RIB PAIN,B Rib pain,297217002-B
(B) RING STUCK,B Ring stuck on finger,248406004-B
(B) RING STUCK ON FINGER,B Ring stuck on finger,248406004-B
(B) RING TIGHT ON FINGERS,B Ring stuck on finger,248406004-B
(B) S/P CHEST PAIN,B Chest pain,29857009-B
(B) S/P CP,B Chest pain,29857009-B
(B) SCAPULA PAIN,B Scapula pain,20793008-B
(B) SCAPULAR PAIN,B Scapula pain,20793008-B
(B) SCROTAL INJ,B Scrotal injury,282782006-B
(B) SCROTAL INJURY,B Scrotal injury,282782006-B
(B) SCROTUM INJ,B Scrotal injury,282782006-B
(B) SCROTUM INJURY,B Scrotal injury,282782006-B
(B) SCROTUM LAC,B Scrotum laceration,283954003-B
(B) SCROTUM LACERATION,B Scrotum laceration,283954003-B
(B) SHIN INJ,B Shin injury,282774006-B
(B) SHIN INJURY,B Shin injury,282774006-B
(B) SHIN LAC,B Shin laceration,283388003-B
(B) SHIN LACERATION,B Shin laceration,283388003-B
(B) SHOULDER ABSCESS,B Shoulder abscess,17354003-B
(B) SHOULDER BURN,B Shoulder burn,57143002-B
(B) SHOULDER CRUSH INJ,B Shoulder crush injury,2591000-B
(B) SHOULDER CRUSH INJURY,B Shoulder crush injury,2591000-B
(B) SHOULDER DISLOCATION,B Shoulder dislocation,417076003-B
(B) SHOULDER INJ,B Shoulder injury,125594001-B
(B) SHOULDER INJURY,B Shoulder injury,125594001-B
(B) SHOULDER LAC,B Shoulder laceration,283367007-B
(B) SHOULDER LACERATION,B Shoulder laceration,283367007-B
(B) SHOULDER PAIN,B Shoulder pain,45326000-B
(B) SIDE +DVT,B DVT,128053003-B
(B) SIDE ABDOMEN LAC,B Abdomen laceration,283378004-B
(B) SIDE ABDOMEN LACERATION,B Abdomen laceration,283378004-B
(B) SIDE ANKLE ABSCESS,B Ankle abscess,58196009-B
(B) SIDE ANKLE BURN,B Ankle burn,40993007-B
(B) SIDE ANKLE CRUSH INJ,B Ankle crush injury,65896005-B
(B) SIDE ANKLE CRUSH INJURY,B Ankle crush injury,65896005-B
(B) SIDE ANKLE FRACTURE,B Ankle fx,16114001-B
(B) SIDE ANKLE FX,B Ankle fx,16114001-B
(B) SIDE ANKLE INJ,B Ankle injury,125603006-B
(B) SIDE ANKLE INJURY,B Ankle injury,125603006-B
(B) SIDE ANKLE LAC,B Ankle laceration,283390002-B
(B) SIDE ANKLE LACERATION,B Ankle laceration,283390002-B
(B) SIDE ANKLE PAIN,B Ankle pain,247373008-B
(B) SIDE ANKLE SWELLING,B Ankle swelling,267039000-B
(B) SIDE ARM ABSCESS,B Arm abscess,315597005-B
(B) SIDE ARM BURN,B Arm burn,6055000-B
(B) SIDE ARM CELLULITIS,B Arm cellulitis,449671007-B
(B) SIDE ARM CRUSH INJ,B Arm crush injury,9560007-B
(B) SIDE ARM CRUSH INJURY,B Arm crush injury,9560007-B
(B) SIDE ARM DVT,B Arm DVT,128054009-B
(B) SIDE ARM FRACTURE,B Arm fracture,23406007-B
(B) SIDE ARM FX,B Arm fracture,23406007-B
(B) SIDE ARM INJ,B Arm injury,127278005-B
(B) SIDE ARM INJURY,B Arm injury,127278005-B
(B) SIDE ARM LAC,B Arm laceration,283366003-B
(B) SIDE ARM LACERATION,B Arm laceration,283366003-B
(B) SIDE ARM NUMBNESS,B Arm numbness,298753001-B
(B) SIDE ARM PAIN,B Arm pain,102556003-B
(B) SIDE ARM REDNESS,B Arm redness,0552bee6c5e811e48aee525400010026-B
(B) SIDE ARM SWELLING,B Arm swelling,449618007-B
(B) SIDE ARM WEAKNESS,B Arm weakness,6dc81860c5e611e4a6ab525400010026-B
(B) SIDE AXILLA ABSCESS,B Axilla abscess,13802001-B
(B) SIDE AXILLA BURN,B Axilla burn,84493007-B
(B) SIDE AXILLA LAC,B Axilla laceration,283368002-B
(B) SIDE AXILLA LACERATION,B Axilla laceration,283368002-B
(B) SIDE AXILLARY ABSCESS,B Axilla abscess,13802001-B
(B) SIDE BACK LAC,B Back laceration,274171001-B
(B) SIDE BACK LACERATION,B Back laceration,274171001-B
(B) SIDE BACK PAIN,B Back pain,161891005-B
(B) SIDE BACKPAIN,B Back pain,161891005-B
(B) SIDE BODY PAIN,B Body pain,279001004-B
(B) SIDE BREAST ABSCESS,B Breast abscess,28432003-B
(B) SIDE BREAST BURN,B Breast burn,80433004-B
(B) SIDE BREAST ERYTHEMA,B Breast erythema,290070001-B
(B) SIDE BREAST LAC,B Breast laceration,283376000-B
(B) SIDE BREAST LACERATION,B Breast laceration,283376000-B
(B) SIDE BREAST PAIN,B Breast pain,53430007-B
(B) SIDE BREAST TENDERNESS,B Tender breast,55222007-B
(B) SIDE BUTTOCK ABSCESS,B Gluteal abscess,64576003-B
(B) SIDE BUTTOCK LAC,B Buttock laceration,283383007-B
(B) SIDE BUTTOCK LACERATION,B Buttock laceration,283383007-B
(B) SIDE C/P,B Chest pain,29857009-B
(B) SIDE CALCANEUS FX,B Calcaneus fx,263247007-B
(B) SIDE CALF LAC,B Calf laceration,283389006-B
(B) SIDE CALF LACERATION,B Calf laceration,283389006-B
(B) SIDE CALF PAIN,B Calf pain,300954003-B
(B) SIDE CAROTID ARTERY DISSECTION,B Carotid artery dissection,230729006-B
(B) SIDE CAROTID DISSECTION,B Carotid artery dissection,230729006-B
(B) SIDE CHEEK ABSCESS,B Cheek abscess,308661000-B
(B) SIDE CHEEK LAC,B Cheek laceration,283362001-B
(B) SIDE CHEEK LACERATION,B Cheek laceration,283362001-B
(B) SIDE CHEEK PAIN,B Cheek pain,473008002-B
(B) SIDE CHEST PAIN,B Chest pain,29857009-B
(B) SIDE CHEST PAIN (CARDIAC FEATURES),B Chest pain,29857009-B
(B) SIDE CHEST PAIN (NONCARDIAC FEATURES),B Chest pain,29857009-B
(B) SIDE CHEST PAINS,B Chest pain,29857009-B
(B) SIDE CHEST PRESSURE,B Chest pain,29857009-B
(B) SIDE CHEST TIGHTNESS,B Chest pain,29857009-B
(B) SIDE CHEST WALL LAC,B Chest wall laceration,274167004-B
(B) SIDE CHEST WALL LACERATION,B Chest wall laceration,274167004-B
(B) SIDE CHIN LAC,B Chin laceration,110077007-B
(B) SIDE CHIN LACERATION,B Chin laceration,110077007-B
(B) SIDE CLAVICLE FRACTURE,B Clavicle fracture,58150001-B
(B) SIDE CLAVICLE FX,B Clavicle fracture,58150001-B
(B) SIDE CLAVICLE PAIN,B Clavicle pain,203509009-B
(B) SIDE CLAVICULAR PAIN,B Clavicle pain,203509009-B
(B) SIDE CLOSED HIP FRACTURE,B Closed hip fracture,359817006-B
(B) SIDE CLOSED HIP FX,B Closed hip fracture,359817006-B
(B) SIDE COLLAR BONE FRACTURE,B Clavicle fracture,58150001-B
(B) SIDE COLLAR BONE FX,B Clavicle fracture,58150001-B
(B) SIDE CP,B Chest pain,29857009-B
(B) SIDE CP - CHEST PAIN,B Chest pain,29857009-B
(B) SIDE DECREASED HEARING,B Hearling loss,103276001-B
(B) SIDE DVT,B DVT,128053003-B
(B) SIDE DVT - DEEP VEIN THROMBOSIS,B DVT,128053003-B
(B) SIDE EAR ACHE,B Ear pain,16001004-B
(B) SIDE EAR BURN,B Ear burn,39065001-B
(B) SIDE EAR CRUSH INJ,B Ear crush injury,67070005-B
(B) SIDE EAR CRUSH INJURY,B Ear crush injury,67070005-B
(B) SIDE EAR DISCHARGE,B Ear discharge,300132001-B
(B) SIDE EAR FOREIGN BODY,B Ear foreign body,75441006-B
(B) SIDE EAR INJ,B Ear injury,2999009-B
(B) SIDE EAR INJURY,B Ear injury,2999009-B
(B) SIDE EAR LAC,B Ear Laceration,283361008-B
(B) SIDE EAR LACERATION,B Ear Laceration,283361008-B
